"keyPhotoID","OutcropPhoto","Photomicrograph","CLImage","OtherImage","TSOverview","OtherDocument","WayptIDKey","MacrostructureID","SampleIDKey","TSDescID","PhotoLinkRelative2"
2,1,0,0,0,0,0,,2,3,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_1_MACRO2.JPG"
3,1,0,0,0,0,0,,2,3,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_1_MACRO3.JPG"
4,1,0,0,0,0,0,,2,3,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_1_MACRO4.JPG"
5,1,0,0,0,0,0,,3,4,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_2_MACRO (1).JPG"
6,1,0,0,0,0,0,,3,4,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_2_MACRO (2).JPG"
7,1,0,0,0,0,0,,3,4,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_2_MACRO0011.JPG"
8,1,0,0,0,0,0,,0,4,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_2A_MESO_0015 (4).JPG"
9,1,0,0,0,0,0,,0,5,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_2B_MESO_0015 (5).JPG"
10,0,0,0,0,0,0,,0,6,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_2C_MESO_0015 (1).JPG"
11,1,0,0,0,0,0,,4,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\Jan2016_0017.JPG"
12,1,0,0,0,0,0,,4,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\Jan2016_0016.JPG"
13,1,0,0,0,0,0,,4,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\Jan2016_0018.JPG"
14,1,0,0,0,0,0,,4,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\Jan2016_0019.JPG"
15,1,0,0,0,0,0,,5,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_3_Jan2016_0025.JPG"
16,1,0,0,0,0,0,,5,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_3_MACRO_0021 (1).JPG"
17,1,0,0,0,0,0,,5,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_3_MACRO_0021 (2).JPG"
18,1,0,0,0,0,0,,5,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_3_MACRO_0021 (3).JPG"
19,1,0,0,0,0,0,,5,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_3_MACRO_0021 (4).JPG"
20,1,0,0,0,0,0,,5,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_3_MACRO_0021 (4).JPG"
21,0,0,0,0,0,0,,5,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_3_MACRO_0021 (5).JPG"
22,1,0,0,0,0,0,,0,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_3_MESO_0028 (1).JPG"
23,1,0,0,0,0,0,,0,7,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_3_MESO_0028 (2).JPG"
24,1,0,0,0,0,0,,6,9,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_4_MACRO_0029.JPG"
25,1,0,0,0,0,0,,0,9,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_4A_Jan2016_0030.JPG"
26,1,0,0,0,0,0,,0,10,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_4B_MESO_0032 (3).JPG"
27,1,0,0,0,0,0,,0,11,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_4C_MESO_0032 (1).JPG"
28,1,0,0,0,0,0,,7,0,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\Jan2016_0033.JPG"
29,1,0,0,0,0,0,,7,0,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\Jan2016_0034.JPG"
30,1,0,0,0,0,0,,7,0,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\Jan2016_0035.JPG"
31,1,0,0,0,0,0,,8,12,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_5_MACRO_0037 (1).JPG"
32,1,0,0,0,0,0,,8,12,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_5_MACRO_0037 (2).JPG"
33,1,0,0,0,0,0,,0,12,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_5A_MESO_0041 (2).JPG"
34,1,0,0,0,0,0,,0,13,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_5B_MESO_0041 (3).JPG"
35,1,0,0,0,0,0,,0,14,0,"\Photos\USTProject\2016_JanuaryFieldPhotos\Hickson\16_WB_5C_MESO_0041 (1).JPG"
36,1,0,0,0,0,0,,14,1,0,"\Photos\USTProject\HS-15-SBR-1\HS-15-SBR-001_1792.jpg"
37,1,0,0,0,0,0,,14,1,0,"\Photos\USTProject\HS-15-SBR-1\HS-15-SBR-001_1793.jpg"
38,1,0,0,0,0,0,,14,1,0,"\Photos\USTProject\HS-15-SBR-1\HS-15-SBR-001_1794.jpg"
39,1,0,0,0,0,0,,0,1,0,"\Photos\USTProject\HS-15-SBR-1\HS-15-SBR-001_1795.jpg"
40,1,0,0,0,0,0,,0,2,0,"\Photos\USTProject\HS-15-SBR-1\HS-15-SBR-001_1796.jpg"
41,1,0,0,0,0,0,,15,26,0,"\Photos\USTProject\HS-15-SBR-2\HS-15-SBR-002_1797.jpg"
42,1,0,0,0,0,0,,15,26,0,"\Photos\USTProject\HS-15-SBR-2\HS-15-SBR-002_1798.jpg"
43,1,0,0,0,0,0,,0,26,0,"\Photos\USTProject\HS-15-SBR-2\HS-15-SBR-002_1799.jpg"
44,1,0,0,0,0,0,,0,27,0,"\Photos\USTProject\HS-15-SBR-2\HS-15-SBR-002_1800.jpg"
45,1,0,0,0,0,0,,0,28,0,"\Photos\USTProject\HS-15-SBR-2\HS-15-SBR-002_1801.jpg"
46,1,0,0,0,0,0,,0,29,0,"\Photos\USTProject\HS-15-SBR-2\HS-15-SBR-002_1802.jpg"
47,1,0,0,0,0,0,,0,30,0,"\Photos\USTProject\HS-15-SBR-2\HS-15-SBR-002_1803.jpg"
48,1,0,0,0,0,0,,16,31,0,"\Photos\USTProject\HS-15-SBR-3\HS-15-SBR-003_1804.jpg"
49,1,0,0,0,0,0,,16,31,0,"\Photos\USTProject\HS-15-SBR-3\HS-15-SBR-003_1805.jpg"
50,1,0,0,0,0,0,,0,31,0,"\Photos\USTProject\HS-15-SBR-3\HS-15-SBR-003_1805.jpg"
51,1,0,0,0,0,0,,0,32,0,"\Photos\USTProject\HS-15-SBR-3\HS-15-SBR-003_1806.jpg"
52,1,0,0,0,0,0,,0,33,0,"\Photos\USTProject\HS-15-SBR-3\HS-15-SBR-003_1807.jpg"
53,1,0,0,0,0,0,,17,34,0,"\Photos\USTProject\HS-15-SBR-4\HS-15-SBR-004_1810.jpg"
54,1,0,0,0,0,0,,0,34,0,"\Photos\USTProject\HS-15-SBR-4\HS-15-SBR-004_1811.jpg"
55,1,0,0,0,0,0,,0,35,0,"\Photos\USTProject\HS-15-SBR-4\HS-15-SBR-004_1812.jpg"
56,1,0,0,0,0,0,,18,,0,"\Photos\USTProject\HS-15-SBR-5\HS-15-SBR-005_219.jpg"
57,1,0,0,0,0,0,,0,36,0,"\Photos\USTProject\HS-15-SBR-5\HS-15-SBR-005_220.jpg"
58,1,0,0,0,0,0,,0,37,0,"\Photos\USTProject\HS-15-SBR-5\HS-15-SBR-005_221.jpg"
59,1,0,0,0,0,0,,0,38,0,"\Photos\USTProject\HS-15-SBR-5\HS-15-SBR-005_222.jpg"
60,1,0,0,0,0,0,,19,,0,"\Photos\USTProject\HS-15-SBR-6\HS-15-SBR-006_229.jpg"
61,1,0,0,0,0,0,,0,39,0,"\Photos\USTProject\HS-15-SBR-6\HS-15-SBR-006_231.jpg"
62,1,0,0,0,0,0,,0,40,0,"\Photos\USTProject\HS-15-SBR-6\HS-15-SBR-006_230.jpg"
63,1,0,0,0,0,0,,0,41,0,"\Photos\USTProject\HS-15-SBR-6\HS-15-SBR-006_232.jpg"
64,1,0,0,0,0,0,,20,,0,"\Photos\USTProject\HS-15-SBR-7\HS-15-SBR-007_245.jpg"
65,1,0,0,0,0,0,,0,42,0,"\Photos\USTProject\HS-15-SBR-7\HS-15-SBR-007_246.jpg"
66,1,0,0,0,0,0,,0,43,0,"\Photos\USTProject\HS-15-SBR-7\HS-15-SBR-007_246.jpg"
67,1,0,0,0,0,0,,0,44,0,"\Photos\USTProject\HS-15-SBR-7\HS-15-SBR-007_247.jpg"
68,1,0,0,0,0,0,,21,45,0,"\Photos\USTProject\HS-15-SBR-8\HS-15-SBR-008_248.jpg"
69,1,0,0,0,0,0,,21,45,0,"\Photos\USTProject\HS-15-SBR-8\HS-15-SBR-008_249.jpg"
70,1,0,0,0,0,0,,0,45,0,"\Photos\USTProject\HS-15-SBR-8\HS-15-SBR-008_250.jpg"
71,1,0,0,0,0,0,,22,15,0,"\Photos\USTProject\HS-15-SBR-10\HS-15-SBR-010_1813.jpg"
72,1,0,0,0,0,0,,0,15,0,"\Photos\USTProject\HS-15-SBR-10\HS-15-SBR-010_1814.jpg"
73,1,0,0,0,0,0,,0,16,0,"\Photos\USTProject\HS-15-SBR-10\HS-15-SBR-010_1814.jpg"
74,1,0,0,0,0,0,,24,17,0,"\Photos\USTProject\HS-15-SBR-12\HS-15-SBR-012_1816.jpg"
75,1,0,0,0,0,0,,0,17,0,"\Photos\USTProject\HS-15-SBR-12\HS-15-SBR-012_1817.jpg"
76,1,0,0,0,0,0,,0,18,0,"\Photos\USTProject\HS-15-SBR-12\HS-15-SBR-012_1818.jpg"
77,1,0,0,0,0,0,,25,19,0,"\Photos\USTProject\HS-15-SBR-13\HS-15-SBR-013_1819.jpg"
78,1,0,0,0,0,0,,0,19,0,"\Photos\USTProject\HS-15-SBR-13\HS-15-SBR-013_1820.jpg"
79,1,0,0,0,0,0,,0,20,0,"\Photos\USTProject\HS-15-SBR-13\HS-15-SBR-013_1821.jpg"
80,1,0,0,0,0,0,,26,21,0,"\Photos\USTProject\HS-15-SBR-14\HS-15-SBR-014_1822.jpg"
81,1,0,0,0,0,0,,0,21,0,"\Photos\USTProject\HS-15-SBR-14\HS-15-SBR-014_1823.jpg"
82,1,0,0,0,0,0,,0,22,0,"\Photos\USTProject\HS-15-SBR-14\HS-15-SBR-014_1824.jpg"
83,1,0,0,0,0,0,,0,23,0,"\Photos\USTProject\HS-15-SBR-14\HS-15-SBR-014_1825.jpg"
84,1,0,0,0,0,0,,27,24,0,"\Photos\USTProject\HS-15-SBR-15\HS-15-SBR-015_1828.jpg"
85,1,0,0,0,0,0,,0,24,0,"\Photos\USTProject\HS-15-SBR-15\HS-15-SBR-015_1829.jpg"
86,1,0,0,0,0,0,,0,25,0,"\Photos\USTProject\HS-15-SBR-15\HS-15-SBR-015_1829.jpg"
87,1,0,0,0,0,0,,,,0,"\Photos\USTProject\HS-15-STR-1\HS-15-STR-1(2).jpg"
88,1,0,0,0,0,0,,,,0,"\Photos\USTProject\HS-15-STR-1\HS-15-STR-1(3).jpg"
89,1,0,0,0,0,0,,,,0,"\Photos\USTProject\HS-15-STR-1\HS-15-STR-1.jpg"
90,1,0,0,0,0,0,,28,,0,"\Photos\USTProject\HS-15-STR-1\HS-15-STR-1(2).jpg"
91,1,0,0,0,0,0,,28,,0,"\Photos\USTProject\HS-15-STR-1\HS-15-STR-1(3).jpg"
92,1,0,0,0,0,0,,28,,0,"\Photos\USTProject\HS-15-STR-1\HS-15-STR-1.jpg"
93,1,0,0,0,0,0,,0,55,0,"\Photos\USTProject\HS-15-STR-1\HS-15-STR-1A.jpg"
