"WayptID","Latitude","Longitude","Northing","Easting","UTMZone1","UTMZone2","Datum","Projection","FieldbookPage","Formation","Comments","WaypointSrc"
1,0.00,0.00,4024809.35,718462.07,11,"S","NAD83","UTM","124","Thl","Car location",
2,0.00,0.00,4025664.06,717807.29,11,"S","NAD83","UTM","124","Thl","",
3,0.00,0.00,4026125.60,717750.87,11,"S","NAD83","UTM","125","Thl","",
4,0.00,0.00,4026859.20,718292.41,11,"S","NAD83","UTM","126","Thl","Small domal stromatolite, photos 16-19",
5,0.00,0.00,4026850.47,718324.77,11,"S","NAD83","UTM","126","Thl","",
6,0.00,0.00,4026983.54,718133.75,11,"S","NAD83","UTM","127","Thl","",
7,0.00,0.00,4027028.04,718102.10,11,"S","NAD83","UTM","128","Thl","Photos 33-35.  Small, domal stromatolites",
8,0.00,0.00,4027100.09,718071.10,11,"S","NAD83","UTM","128","Thl","",
9,0.00,0.00,4027156.10,718006.92,11,"S","NAD83","UTM","129","Thl","Photos 42-46.  View of northern margin of FRU unit",
10,0.00,0.00,4027147.08,718010.38,11,"S","NAD83","UTM","130","Thl","Photo 47.  View NW along N edge of basin showing relationship of Thl to Pz",
11,0.00,0.00,4026810.05,718425.74,11,"S","NAD83","UTM","1","Thl","",
12,0.00,0.00,4027068.57,718076.02,11,"S","NAD83","UTM","1","Thl","Possible fault",
13,0.00,0.00,4027307.14,717797.50,11,"S","NAD83","UTM","2","Thl","Possible tuffaceous sandstone",
14,0.00,0.00,4025608.32,717630.59,11,"S","NAD83","UTM","2","Thl","Photos 121-1792-1796",
15,0.00,0.00,4025614.97,717616.78,11,"S","NAD83","UTM","2","Thl","In FRU, biscuit mounds in place, texture is clotted
002p 121-1797 003p 121-1804-1809 004p 121-1810-1812",
16,0.00,0.00,4025607.69,717601.06,11,"S","NAD83","UTM","3","Thl","New FRU Block. No visible Mircrobial textures",
17,0.00,0.00,4025690.28,717538.46,11,"S","NAD83","UTM","3","Thl","Clotted structure. Only C was collected.
100-0209-0222",
18,0.00,0.00,4025752.68,717570.03,11,"S","NAD83","UTM","3","Thl","Possible FRU",
19,0.00,0.00,4025776.71,717536.38,11,"S","NAD83","UTM","3","Thl","",
20,0.00,0.00,4025875.51,717482.89,11,"S","NAD83","UTM","4","Thl","100-0229-0232
'Gorilla Beds' 100-0235-0239",
21,0.00,0.00,4025890.43,717471.47,11,"S","NAD83","UTM","4","Thl","",
22,0.00,0.00,4025916.08,717462.92,11,"S","NAD83","UTM","4","Thl","'Gorilla beds' 100-240-0242",
23,0.00,0.00,4025919.58,717460.86,11,"S","NAD83","UTM","4","Thl","Clotted Gorilla Bed with unconected internal laminae
100-245-247",
24,0.00,0.00,4025924.15,717456.88,11,"S","NAD83","UTM","4","Thl","gorilla bed with great texture but no domal/pillar could be due to weather patterns
100-248-250",
25,0.00,0.00,4025949.12,717434.61,11,"S","NAD83","UTM","4","Thl","FRU Bed travers in section with gorilla beds",
26,0.00,0.00,4025980.29,717451.07,11,"S","NAD83","UTM","4","Thl","Mini-mound exposure",
27,0.00,0.00,4026091.49,717498.12,11,"S","NAD83","UTM","4","Thl","Few small mounds 10-30cm in diameter",
28,0.00,0.00,4026126.56,717541.78,11,"S","NAD83","UTM","5","Thl","Eggshells found bellow FRU (teepee?)",
29,0.00,0.00,4026078.56,717624.26,11,"S","NAD83","UTM","5","Thl","",
30,0.00,0.00,4026086.37,717630.26,11,"S","NAD83","UTM","5","Thl","",
31,0.00,0.00,4026093.48,717599.46,11,"S","NAD83","UTM","5","Thl","",
32,0.00,0.00,4026052.84,717643.59,11,"S","NAD83","UTM","5","Thl","Clotted domal mounds similar to gorilla mounds, but little to no internal layering/pillars or domes",
33,0.00,0.00,4026111.94,717742.23,11,"S","NAD83","UTM","5","Thl","Small to medium size mounds",
34,0.00,0.00,4026137.78,717745.27,11,"S","NAD83","UTM","6","Thl","Fine layered limestone that continues to the valley floor",
35,0.00,0.00,4026144.47,717781.92,11,"S","NAD83","UTM","6","Thl","Possible offset of FRU, outcrop is made of finely laminated limestone that is similar to WP 88/89",
36,0.00,0.00,4026193.77,718126.42,11,"S","NAD83","UTM","6","Thl","",
37,0.00,0.00,4026362.06,718059.33,11,"S","NAD83","UTM","6","Thl","121-1813-1815
Possible FRU no visible gorilla beds, but small domal mounds",
38,0.00,0.00,4026639.35,718137.12,11,"S","NAD83","UTM","7","Thl","121-1816-1818
Small biscuits above gorilla beds",
39,0.00,0.00,4026983.95,717964.65,11,"S","NAD83","UTM","7","Thl","Gorilla bed with more of a laminated texture not as much of a pillar texture as WP 91
121-1819-1821",
40,0.00,0.00,4026984.21,717970.57,11,"S","NAD83","UTM","7","Thl","Gorilla beds with irregular internal mounds and layering
121-1822-1825",
41,0.00,0.00,4027010.79,717976.82,11,"S","NAD83","UTM","7","Thl","Fault",
42,0.00,0.00,4023012.48,715752.55,11,"S","NAD83","UTM","","Thl","",
43,0.00,0.00,4023013.04,715752.98,11,"S","NAD83","UTM","8","Thl","Possible FRU, small biscuit like mounds with internal layering
121-1828-1830",
44,0.00,0.00,4022996.72,715663.73,11,"S","NAD83","UTM","8","Thl","Possible gorilla bed texture
121-1831-1832",
45,0.00,0.00,4023004.17,715632.91,11,"S","NAD83","UTM","8","Thl","Possible gorilla mound
121-1833",
46,0.00,0.00,4022996.03,715341.07,11,"S","NAD83","UTM","8","Thl","Possible FRU with colums/clotted pillars and small domes
121-1834",
47,0.00,0.00,4022567.32,713870.74,11,"S","NAD83","UTM","8","Thl","Possible FRU",
48,0.00,0.00,4023022.55,714354.31,11,"S","NAD83","UTM","8","Thl","Not FRU on area C",
49,0.00,0.00,4150426.25,658868.64,11,"S","NAD83","UTM","?","","Pahranagat Water Samples with Andrew Pilimai",
50,0.00,0.00,4150425.81,658868.82,11,"S","NAD83","UTM","?","","Pahranagat Water Samples with Andrew Pilimai",
51,0.00,0.00,4155429.40,656158.14,11,"S","NAD83","UTM","?","","Pahranagat Water Samples with Andrew Pilimai",
52,0.00,0.00,4155426.97,656165.08,11,"S","NAD83","UTM","?","","Pahranagat Water Samples with Andrew Pilimai",
53,0.00,0.00,4155384.20,656216.00,11,"S","NAD83","UTM","?","","Pahranagat Water Samples with Andrew Pilimai",
54,0.00,0.00,4155366.55,656215.89,11,"S","NAD83","UTM","?","","Pahranagat Water Samples with Andrew Pilimai",
55,0.00,0.00,4155361.60,656242.06,11,"S","NAD83","UTM","?","","Pahranagat Water Samples with Andrew Pilimai",
56,0.00,0.00,4155365.07,656219.90,11,"S","NAD83","UTM","?","","Pahranagat Water Samples with Andrew Pilimai",
57,0.00,0.00,4024919.06,717827.54,11,"S","NAD83","UTM","42/31","Thl","working with Eric; photo 1705 Cannon S100, on the island at THE  picture of andrea's book",
58,0.00,0.00,4025133.83,717767.89,11,"S","NAD83","UTM","46/32","Thl","working with Eric",
59,0.00,0.00,4025214.32,717803.32,11,"S","NAD83","UTM","49/32","Thl","working with Eric",
60,0.00,0.00,4025235.66,717800.00,11,"S","NAD83","UTM","69/83","Thl","working with Eric; ooids",
61,0.00,0.00,4025234.51,717798.41,11,"S","NAD83","UTM","72/88","Thl","working with Eric",
62,0.00,0.00,4025327.88,717789.60,11,"S","NAD83","UTM","75/89","Thl","working with Eric",
63,0.00,0.00,4025406.17,717737.16,11,"S","NAD83","UTM","76/90","Thl","working with Eric",
64,0.00,0.00,4025483.92,717688.50,11,"S","NAD83","UTM","77","Thl","working with Eric",
65,0.00,0.00,4025512.80,717695.23,11,"S","NAD83","UTM","54/82","Thl","working with Eric",
66,0.00,0.00,4025509.74,717670.52,11,"S","NAD83","UTM","54/83","Thl","working with Eric",
67,0.00,0.00,4025546.25,717661.16,11,"S","NAD83","UTM","55/84","thl","working with Eric",
68,0.00,0.00,4026188.39,718062.62,11,"S","NAD83","UTM","56/85","Thl","working with Eric",
118,0.00,0.00,4019303.16,721747.52,11,"S","NAD83","UTM","6/x/60","Thl","Teepee; ""The Package""",
119,0.00,0.00,4027269.58,717712.06,11,"S","NAD83","UTM","8/x/",,"Teepee large, ""The Package""",
120,0.00,0.00,4027194.67,717761.62,11,"S","NAD83","UTM","9",,"Teepee; ""The Package""",
121,0.00,0.00,4027019.81,717924.96,11,"S","NAD83","UTM","9",,"Biscuit/ mini-gorilla beds",
